keys,en,fr,sp
SUBTITLE,"This is not the end. This is the beginning.","Ce n’est pas la fin. C’est le début.","Esto no es el final. Esto es el comienzo."
NEW_GAME,"New Game","Nouvel Partie","Nuevo Juego"
LOAD_GAME,"Load Game","Charger Partie","Cargar Partida"
RESUME,"Resume","Reprendre","Reanudar"
OPTIONS,"Options","Options","Opciones"
QUIT,"Quit","Quitter","Salir"
SAVE,"Save","Sauvegarder","Guardar"
SAVE_AND_EXIT,"Save and Exit","Sauvegarder et Quitter","Guardar y Salir"
LOAD,"Load","Charger","Cargar"
DELETE,"Delete","Supprimer","Eliminar"
DELETE_SAVE,"Delete Save","Supprimer Sauvegarde","Eliminar Guardado"
CONTINUE,"Continue","Continue","Continuar"
CREDITS,"Credits","Crédits","Créditos"
EXIT,"Exit","Sortir","Salir"
BACK,"Back","Retour","Atrás"
CHOOSE_CHARACTER,"Choose Character","Choisis ton personnage","Elige tu personaje"
CARDS_COLLECTION,"Cards Collection","Collection de cartes","Colección de cartas"
FINDINGS,"Findings","Découvertes","Hallazgos"
SHOP,"Shop","Boutique","Tienda"
ANOTHER_HAND,"Another Hand","Autre Main","Otra Mano"
VALIDATE_THE_HAND,"Validate the Hand","Valider la main","Validar la mano"
GENERATE,"Generate","Generation","Generar"
SOLVE,"Solve","Résoudre","Resolver"

___ MAIN MENU,,,

Title,Title,Titre,Título
Subtitle,Subtitle,Sous-titre,Subtítulo
Play,Play,Jouer,Jugar
Options,Options,Options,Opciones
Credits,Credits,Crédits,Créditos
Exit,Exit,Quitter,Salir

___ LOADING SCREEN,,,
Loading...,Loading...,Chargement...,Cargando...
Loading Level...,Loading Level...,Chargement du niveau...,Cargando nivel...
Still Loading Level...,Still Loading Level...,Chargement du niveau...,Cargando nivel...
Still Loading Level... (%d seconds),Still Loading Level... (%d seconds),Chargement du niveau... (%d secondes),Cargando nivel... (%d segundos)
Loading Level Complete!,Loading Level Complete!,Chargement du niveau terminé !,Carga de nivel completa !
Any Moment Now...,Any Moment Now...,Chargement imminent...,Cualquier momento ahora...
Any Moment Now... (%d seconds) ,Any Moment Now... (%d seconds),Chargement imminent... (%d secondes),Cualquier momento ahora... (%d segundos)

Loading Complete!,Loading Complete!,Chargement terminé !,Carga completa !

___ DIALOGS IN GAME,,,

You lose.,You lose.,Vous avez perdu.,Perdiste.
You won!,You won!,Vous avez gagné !,¡Ganaste!
Thanks for playing!,Thanks for playing!,Merci d'avoir joué !,¡Gracias por jugar!

Pause,Pause,Pause,Pausa
Exit Game,Exit Game,Quitter le jeu,Salir del juego
Main Menu,Main Menu,Menu principal,Menú principal
Options,Options,Options,Opciones
Resume,Resume,Reprendre,Reanudar
Restart,Restart,Recommencer,Reiniciar
Continue,Continue,Continuer,Continuar
Menu,Menu,Menu,Menú

Please Confirm...,Please Confirm...,Veuillez confirmer...,Por favor confirma...
Go back to main menu?,Go back to main menu?,Retourner au menu principal ?,¿Volver al menú principal?
Quit the game?,Quit the game?,Quitter le jeu ?,¿Salir del juego?
Cancel,Cancel,Annuler,Cancelar
OK,OK,OK,OK

___ OPTIONS MENU,,,

Controls,Controls,Contrôles,Controles
Mouse Sensitivity :,Mouse Sensitivity :,Sensibilité souris :,Sensibilidad del ratón :
Actions & Inputs,Actions & Inputs,Actions et contrôles,Acciones e entradas
Add,Add,Ajouter,Añadir
Remove,Remove,Enlever,Eliminar
Assign Key for {action},Assign Key for {action},Choisir le contrôle pour {action},Asignar tecla para {action}
Listening for input...,Listening for input...,Appuyez sur un bouton...,Escuchando entrada...
Press again to confirm...,Press again to confirm...,Appuyez encore pour confirmer...,Presiona de nuevo para confirmar...
Focus here to assign inputs.,Focus here to assign inputs.,Mettez le focus ici pour choisir le contrôle.,Enfoca aquí para asignar entradas.
Already Assigned,Already Assigned,Déjà utilisé,Ya asignado
{key} already assigned to {action}.,{key} already assigned to {action}.,{key} est déjà utilisé pour {action}.,{key} ya está asignado a {action}.
Remove Key for {action},Remove Key for {action},Supprimer le contrôle pour {action},Eliminar tecla para {action}
Are you sure you want to remove {key} from {action}?,Are you sure you want to remove {key} from {action}?,Êtes-vous sûr de vouloir supprimer {key} pour {action} ?,¿Estás seguro de que quieres eliminar {key} de {action}?
Reset,Reset,Réinitialiser,Reiniciar

Audio,Audio,Audio,Audio
Master :,"Master :","Principal :"," Principal :"
Music :,"Music :","Musique :","Musica :"
SFX :,"SFX :","Effets :",   "SFX :"
Mute :,"Mute :","Silencieux :","Silencio :"

Video,Video,Vidéo,Video
Fullscreen :,Fullscreen :,Plein écran :,Pantalla completa :
Resolution :,Resolution :,Résolution :,Resolución :
Anti-Aliasing :,Anti-Aliasing :,Anticrénelage :,Anti-Aliasing :
